status	model_alias	model_name	offload_gb	profile_id	input_len	output_len	concurrency	run_no	result_file	utc_time
started	qwen	Qwen/Qwen2.5-7B-Instruct	0	short	128	32	4	1	./profile_robustness_runs/qwen/offload0/bench_runs_plos_profile_robustness_v1_qwen_offload0_20260725_072735/qwen_profile-short_offload0_conc4_run1.json	2026-07-25T05:27:35Z
completed	qwen	Qwen/Qwen2.5-7B-Instruct	0	short	128	32	4	1	./profile_robustness_runs/qwen/offload0/bench_runs_plos_profile_robustness_v1_qwen_offload0_20260725_072735/qwen_profile-short_offload0_conc4_run1.json	2026-07-25T05:27:48Z
started	qwen	Qwen/Qwen2.5-7B-Instruct	0	short	128	32	8	1	./profile_robustness_runs/qwen/offload0/bench_runs_plos_profile_robustness_v1_qwen_offload0_20260725_072735/qwen_profile-short_offload0_conc8_run1.json	2026-07-25T05:27:48Z
completed	qwen	Qwen/Qwen2.5-7B-Instruct	0	short	128	32	8	1	./profile_robustness_runs/qwen/offload0/bench_runs_plos_profile_robustness_v1_qwen_offload0_20260725_072735/qwen_profile-short_offload0_conc8_run1.json	2026-07-25T05:27:59Z
started	qwen	Qwen/Qwen2.5-7B-Instruct	0	reference	256	64	4	1	./profile_robustness_runs/qwen/offload0/bench_runs_plos_profile_robustness_v1_qwen_offload0_20260725_072735/qwen_profile-reference_offload0_conc4_run1.json	2026-07-25T05:27:59Z
completed	qwen	Qwen/Qwen2.5-7B-Instruct	0	reference	256	64	4	1	./profile_robustness_runs/qwen/offload0/bench_runs_plos_profile_robustness_v1_qwen_offload0_20260725_072735/qwen_profile-reference_offload0_conc4_run1.json	2026-07-25T05:28:15Z
started	qwen	Qwen/Qwen2.5-7B-Instruct	0	reference	256	64	8	1	./profile_robustness_runs/qwen/offload0/bench_runs_plos_profile_robustness_v1_qwen_offload0_20260725_072735/qwen_profile-reference_offload0_conc8_run1.json	2026-07-25T05:28:15Z
completed	qwen	Qwen/Qwen2.5-7B-Instruct	0	reference	256	64	8	1	./profile_robustness_runs/qwen/offload0/bench_runs_plos_profile_robustness_v1_qwen_offload0_20260725_072735/qwen_profile-reference_offload0_conc8_run1.json	2026-07-25T05:28:28Z
started	qwen	Qwen/Qwen2.5-7B-Instruct	0	long	512	128	4	1	./profile_robustness_runs/qwen/offload0/bench_runs_plos_profile_robustness_v1_qwen_offload0_20260725_072735/qwen_profile-long_offload0_conc4_run1.json	2026-07-25T05:28:28Z
completed	qwen	Qwen/Qwen2.5-7B-Instruct	0	long	512	128	4	1	./profile_robustness_runs/qwen/offload0/bench_runs_plos_profile_robustness_v1_qwen_offload0_20260725_072735/qwen_profile-long_offload0_conc4_run1.json	2026-07-25T05:28:52Z
started	qwen	Qwen/Qwen2.5-7B-Instruct	0	long	512	128	8	1	./profile_robustness_runs/qwen/offload0/bench_runs_plos_profile_robustness_v1_qwen_offload0_20260725_072735/qwen_profile-long_offload0_conc8_run1.json	2026-07-25T05:28:52Z
completed	qwen	Qwen/Qwen2.5-7B-Instruct	0	long	512	128	8	1	./profile_robustness_runs/qwen/offload0/bench_runs_plos_profile_robustness_v1_qwen_offload0_20260725_072735/qwen_profile-long_offload0_conc8_run1.json	2026-07-25T05:29:10Z
started	qwen	Qwen/Qwen2.5-7B-Instruct	0	long	512	128	8	2	./profile_robustness_runs/qwen/offload0/bench_runs_plos_profile_robustness_v1_qwen_offload0_20260725_072735/qwen_profile-long_offload0_conc8_run2.json	2026-07-25T05:29:10Z
completed	qwen	Qwen/Qwen2.5-7B-Instruct	0	long	512	128	8	2	./profile_robustness_runs/qwen/offload0/bench_runs_plos_profile_robustness_v1_qwen_offload0_20260725_072735/qwen_profile-long_offload0_conc8_run2.json	2026-07-25T05:29:28Z
started	qwen	Qwen/Qwen2.5-7B-Instruct	0	long	512	128	4	2	./profile_robustness_runs/qwen/offload0/bench_runs_plos_profile_robustness_v1_qwen_offload0_20260725_072735/qwen_profile-long_offload0_conc4_run2.json	2026-07-25T05:29:28Z
completed	qwen	Qwen/Qwen2.5-7B-Instruct	0	long	512	128	4	2	./profile_robustness_runs/qwen/offload0/bench_runs_plos_profile_robustness_v1_qwen_offload0_20260725_072735/qwen_profile-long_offload0_conc4_run2.json	2026-07-25T05:29:51Z
started	qwen	Qwen/Qwen2.5-7B-Instruct	0	short	128	32	8	2	./profile_robustness_runs/qwen/offload0/bench_runs_plos_profile_robustness_v1_qwen_offload0_20260725_072735/qwen_profile-short_offload0_conc8_run2.json	2026-07-25T05:29:51Z
completed	qwen	Qwen/Qwen2.5-7B-Instruct	0	short	128	32	8	2	./profile_robustness_runs/qwen/offload0/bench_runs_plos_profile_robustness_v1_qwen_offload0_20260725_072735/qwen_profile-short_offload0_conc8_run2.json	2026-07-25T05:30:01Z
started	qwen	Qwen/Qwen2.5-7B-Instruct	0	short	128	32	4	2	./profile_robustness_runs/qwen/offload0/bench_runs_plos_profile_robustness_v1_qwen_offload0_20260725_072735/qwen_profile-short_offload0_conc4_run2.json	2026-07-25T05:30:01Z
completed	qwen	Qwen/Qwen2.5-7B-Instruct	0	short	128	32	4	2	./profile_robustness_runs/qwen/offload0/bench_runs_plos_profile_robustness_v1_qwen_offload0_20260725_072735/qwen_profile-short_offload0_conc4_run2.json	2026-07-25T05:30:13Z
started	qwen	Qwen/Qwen2.5-7B-Instruct	0	reference	256	64	8	2	./profile_robustness_runs/qwen/offload0/bench_runs_plos_profile_robustness_v1_qwen_offload0_20260725_072735/qwen_profile-reference_offload0_conc8_run2.json	2026-07-25T05:30:13Z
completed	qwen	Qwen/Qwen2.5-7B-Instruct	0	reference	256	64	8	2	./profile_robustness_runs/qwen/offload0/bench_runs_plos_profile_robustness_v1_qwen_offload0_20260725_072735/qwen_profile-reference_offload0_conc8_run2.json	2026-07-25T05:30:26Z
started	qwen	Qwen/Qwen2.5-7B-Instruct	0	reference	256	64	4	2	./profile_robustness_runs/qwen/offload0/bench_runs_plos_profile_robustness_v1_qwen_offload0_20260725_072735/qwen_profile-reference_offload0_conc4_run2.json	2026-07-25T05:30:26Z
completed	qwen	Qwen/Qwen2.5-7B-Instruct	0	reference	256	64	4	2	./profile_robustness_runs/qwen/offload0/bench_runs_plos_profile_robustness_v1_qwen_offload0_20260725_072735/qwen_profile-reference_offload0_conc4_run2.json	2026-07-25T05:30:41Z
