status	model_alias	model_name	offload_gb	profile_id	input_len	output_len	concurrency	run_no	result_file	utc_time
started	llama	meta-llama/Llama-3.1-8B-Instruct	12	short	128	32	4	1	./profile_robustness_runs/llama/offload12/bench_runs_plos_profile_robustness_v1_llama_offload12_20260724_171222/llama_profile-short_offload12_conc4_run1.json	2026-07-24T15:12:22Z
completed	llama	meta-llama/Llama-3.1-8B-Instruct	12	short	128	32	4	1	./profile_robustness_runs/llama/offload12/bench_runs_plos_profile_robustness_v1_llama_offload12_20260724_171222/llama_profile-short_offload12_conc4_run1.json	2026-07-24T15:17:01Z
started	llama	meta-llama/Llama-3.1-8B-Instruct	12	short	128	32	8	1	./profile_robustness_runs/llama/offload12/bench_runs_plos_profile_robustness_v1_llama_offload12_20260724_171222/llama_profile-short_offload12_conc8_run1.json	2026-07-24T15:17:01Z
completed	llama	meta-llama/Llama-3.1-8B-Instruct	12	short	128	32	8	1	./profile_robustness_runs/llama/offload12/bench_runs_plos_profile_robustness_v1_llama_offload12_20260724_171222/llama_profile-short_offload12_conc8_run1.json	2026-07-24T15:19:48Z
started	llama	meta-llama/Llama-3.1-8B-Instruct	12	reference	256	64	4	1	./profile_robustness_runs/llama/offload12/bench_runs_plos_profile_robustness_v1_llama_offload12_20260724_171222/llama_profile-reference_offload12_conc4_run1.json	2026-07-24T15:19:48Z
completed	llama	meta-llama/Llama-3.1-8B-Instruct	12	reference	256	64	4	1	./profile_robustness_runs/llama/offload12/bench_runs_plos_profile_robustness_v1_llama_offload12_20260724_171222/llama_profile-reference_offload12_conc4_run1.json	2026-07-24T15:28:32Z
started	llama	meta-llama/Llama-3.1-8B-Instruct	12	reference	256	64	8	1	./profile_robustness_runs/llama/offload12/bench_runs_plos_profile_robustness_v1_llama_offload12_20260724_171222/llama_profile-reference_offload12_conc8_run1.json	2026-07-24T15:28:32Z
completed	llama	meta-llama/Llama-3.1-8B-Instruct	12	reference	256	64	8	1	./profile_robustness_runs/llama/offload12/bench_runs_plos_profile_robustness_v1_llama_offload12_20260724_171222/llama_profile-reference_offload12_conc8_run1.json	2026-07-24T15:33:51Z
started	llama	meta-llama/Llama-3.1-8B-Instruct	12	long	512	128	4	1	./profile_robustness_runs/llama/offload12/bench_runs_plos_profile_robustness_v1_llama_offload12_20260724_171222/llama_profile-long_offload12_conc4_run1.json	2026-07-24T15:33:51Z
completed	llama	meta-llama/Llama-3.1-8B-Instruct	12	long	512	128	4	1	./profile_robustness_runs/llama/offload12/bench_runs_plos_profile_robustness_v1_llama_offload12_20260724_171222/llama_profile-long_offload12_conc4_run1.json	2026-07-24T15:50:57Z
started	llama	meta-llama/Llama-3.1-8B-Instruct	12	long	512	128	8	1	./profile_robustness_runs/llama/offload12/bench_runs_plos_profile_robustness_v1_llama_offload12_20260724_171222/llama_profile-long_offload12_conc8_run1.json	2026-07-24T15:50:57Z
completed	llama	meta-llama/Llama-3.1-8B-Instruct	12	long	512	128	8	1	./profile_robustness_runs/llama/offload12/bench_runs_plos_profile_robustness_v1_llama_offload12_20260724_171222/llama_profile-long_offload12_conc8_run1.json	2026-07-24T16:01:21Z
started	llama	meta-llama/Llama-3.1-8B-Instruct	12	long	512	128	8	2	./profile_robustness_runs/llama/offload12/bench_runs_plos_profile_robustness_v1_llama_offload12_20260724_171222/llama_profile-long_offload12_conc8_run2.json	2026-07-24T16:01:21Z
completed	llama	meta-llama/Llama-3.1-8B-Instruct	12	long	512	128	8	2	./profile_robustness_runs/llama/offload12/bench_runs_plos_profile_robustness_v1_llama_offload12_20260724_171222/llama_profile-long_offload12_conc8_run2.json	2026-07-24T16:11:44Z
started	llama	meta-llama/Llama-3.1-8B-Instruct	12	long	512	128	4	2	./profile_robustness_runs/llama/offload12/bench_runs_plos_profile_robustness_v1_llama_offload12_20260724_171222/llama_profile-long_offload12_conc4_run2.json	2026-07-24T16:11:44Z
