status	model	condition	concurrency	run_no	result_file	utc_time
ok	llama	cpu_offload12	4	1	./fixd_load_control_runs/llama/main/cpu_offload12/llama_fixd_main_cpu_offload12_profile-reference_conc4_run1.json	2026-07-26T09:35:40Z
ok	llama	cpu_offload12	4	2	./fixd_load_control_runs/llama/main/cpu_offload12/llama_fixd_main_cpu_offload12_profile-reference_conc4_run2.json	2026-07-26T09:44:01Z
ok	llama	cpu_offload12	4	3	./fixd_load_control_runs/llama/main/cpu_offload12/llama_fixd_main_cpu_offload12_profile-reference_conc4_run3.json	2026-07-26T09:52:18Z
ok	llama	cpu_offload12	8	1	./fixd_load_control_runs/llama/main/cpu_offload12/llama_fixd_main_cpu_offload12_profile-reference_conc8_run1.json	2026-07-26T09:57:36Z
ok	llama	cpu_offload12	8	2	./fixd_load_control_runs/llama/main/cpu_offload12/llama_fixd_main_cpu_offload12_profile-reference_conc8_run2.json	2026-07-26T10:02:52Z
ok	llama	cpu_offload12	8	3	./fixd_load_control_runs/llama/main/cpu_offload12/llama_fixd_main_cpu_offload12_profile-reference_conc8_run3.json	2026-07-26T10:08:10Z
ok	llama	gpu_only_normal	4	1	./fixd_load_control_runs/llama/main/gpu_only_normal/llama_fixd_main_gpu_only_normal_profile-reference_conc4_run1.json	2026-07-26T10:24:51Z
ok	llama	gpu_only_loaded	4	1	./fixd_load_control_runs/llama/main/gpu_only_loaded/llama_fixd_main_gpu_only_loaded_profile-reference_conc4_run1.json	2026-07-26T10:25:37Z
ok	llama	gpu_only_normal	4	2	./fixd_load_control_runs/llama/main/gpu_only_normal/llama_fixd_main_gpu_only_normal_profile-reference_conc4_run2.json	2026-07-26T10:25:53Z
ok	llama	gpu_only_loaded	4	2	./fixd_load_control_runs/llama/main/gpu_only_loaded/llama_fixd_main_gpu_only_loaded_profile-reference_conc4_run2.json	2026-07-26T10:26:40Z
ok	llama	gpu_only_normal	4	3	./fixd_load_control_runs/llama/main/gpu_only_normal/llama_fixd_main_gpu_only_normal_profile-reference_conc4_run3.json	2026-07-26T10:26:56Z
ok	llama	gpu_only_loaded	4	3	./fixd_load_control_runs/llama/main/gpu_only_loaded/llama_fixd_main_gpu_only_loaded_profile-reference_conc4_run3.json	2026-07-26T10:27:43Z
ok	llama	gpu_only_normal	8	1	./fixd_load_control_runs/llama/main/gpu_only_normal/llama_fixd_main_gpu_only_normal_profile-reference_conc8_run1.json	2026-07-26T10:27:56Z
ok	llama	gpu_only_loaded	8	1	./fixd_load_control_runs/llama/main/gpu_only_loaded/llama_fixd_main_gpu_only_loaded_profile-reference_conc8_run1.json	2026-07-26T10:28:28Z
ok	llama	gpu_only_normal	8	2	./fixd_load_control_runs/llama/main/gpu_only_normal/llama_fixd_main_gpu_only_normal_profile-reference_conc8_run2.json	2026-07-26T10:28:41Z
ok	llama	gpu_only_loaded	8	2	./fixd_load_control_runs/llama/main/gpu_only_loaded/llama_fixd_main_gpu_only_loaded_profile-reference_conc8_run2.json	2026-07-26T10:29:13Z
ok	llama	gpu_only_normal	8	3	./fixd_load_control_runs/llama/main/gpu_only_normal/llama_fixd_main_gpu_only_normal_profile-reference_conc8_run3.json	2026-07-26T10:29:26Z
ok	llama	gpu_only_loaded	8	3	./fixd_load_control_runs/llama/main/gpu_only_loaded/llama_fixd_main_gpu_only_loaded_profile-reference_conc8_run3.json	2026-07-26T10:29:58Z
