status	model_alias	model_name	offload_gb	profile_id	input_len	output_len	concurrency	run_no	result_file	utc_time
started	llama	meta-llama/Llama-3.1-8B-Instruct	0	short	128	32	4	1	./profile_robustness_runs/llama/offload0/bench_runs_plos_profile_robustness_v1_llama_offload0_20260724_165942/llama_profile-short_offload0_conc4_run1.json	2026-07-24T14:59:42Z
completed	llama	meta-llama/Llama-3.1-8B-Instruct	0	short	128	32	4	1	./profile_robustness_runs/llama/offload0/bench_runs_plos_profile_robustness_v1_llama_offload0_20260724_165942/llama_profile-short_offload0_conc4_run1.json	2026-07-24T14:59:54Z
started	llama	meta-llama/Llama-3.1-8B-Instruct	0	short	128	32	8	1	./profile_robustness_runs/llama/offload0/bench_runs_plos_profile_robustness_v1_llama_offload0_20260724_165942/llama_profile-short_offload0_conc8_run1.json	2026-07-24T14:59:54Z
completed	llama	meta-llama/Llama-3.1-8B-Instruct	0	short	128	32	8	1	./profile_robustness_runs/llama/offload0/bench_runs_plos_profile_robustness_v1_llama_offload0_20260724_165942/llama_profile-short_offload0_conc8_run1.json	2026-07-24T15:00:05Z
started	llama	meta-llama/Llama-3.1-8B-Instruct	0	reference	256	64	4	1	./profile_robustness_runs/llama/offload0/bench_runs_plos_profile_robustness_v1_llama_offload0_20260724_165942/llama_profile-reference_offload0_conc4_run1.json	2026-07-24T15:00:05Z
completed	llama	meta-llama/Llama-3.1-8B-Instruct	0	reference	256	64	4	1	./profile_robustness_runs/llama/offload0/bench_runs_plos_profile_robustness_v1_llama_offload0_20260724_165942/llama_profile-reference_offload0_conc4_run1.json	2026-07-24T15:00:21Z
started	llama	meta-llama/Llama-3.1-8B-Instruct	0	reference	256	64	8	1	./profile_robustness_runs/llama/offload0/bench_runs_plos_profile_robustness_v1_llama_offload0_20260724_165942/llama_profile-reference_offload0_conc8_run1.json	2026-07-24T15:00:21Z
completed	llama	meta-llama/Llama-3.1-8B-Instruct	0	reference	256	64	8	1	./profile_robustness_runs/llama/offload0/bench_runs_plos_profile_robustness_v1_llama_offload0_20260724_165942/llama_profile-reference_offload0_conc8_run1.json	2026-07-24T15:00:34Z
started	llama	meta-llama/Llama-3.1-8B-Instruct	0	long	512	128	4	1	./profile_robustness_runs/llama/offload0/bench_runs_plos_profile_robustness_v1_llama_offload0_20260724_165942/llama_profile-long_offload0_conc4_run1.json	2026-07-24T15:00:34Z
completed	llama	meta-llama/Llama-3.1-8B-Instruct	0	long	512	128	4	1	./profile_robustness_runs/llama/offload0/bench_runs_plos_profile_robustness_v1_llama_offload0_20260724_165942/llama_profile-long_offload0_conc4_run1.json	2026-07-24T15:01:00Z
started	llama	meta-llama/Llama-3.1-8B-Instruct	0	long	512	128	8	1	./profile_robustness_runs/llama/offload0/bench_runs_plos_profile_robustness_v1_llama_offload0_20260724_165942/llama_profile-long_offload0_conc8_run1.json	2026-07-24T15:01:00Z
completed	llama	meta-llama/Llama-3.1-8B-Instruct	0	long	512	128	8	1	./profile_robustness_runs/llama/offload0/bench_runs_plos_profile_robustness_v1_llama_offload0_20260724_165942/llama_profile-long_offload0_conc8_run1.json	2026-07-24T15:01:18Z
started	llama	meta-llama/Llama-3.1-8B-Instruct	0	long	512	128	8	2	./profile_robustness_runs/llama/offload0/bench_runs_plos_profile_robustness_v1_llama_offload0_20260724_165942/llama_profile-long_offload0_conc8_run2.json	2026-07-24T15:01:18Z
completed	llama	meta-llama/Llama-3.1-8B-Instruct	0	long	512	128	8	2	./profile_robustness_runs/llama/offload0/bench_runs_plos_profile_robustness_v1_llama_offload0_20260724_165942/llama_profile-long_offload0_conc8_run2.json	2026-07-24T15:01:37Z
started	llama	meta-llama/Llama-3.1-8B-Instruct	0	long	512	128	4	2	./profile_robustness_runs/llama/offload0/bench_runs_plos_profile_robustness_v1_llama_offload0_20260724_165942/llama_profile-long_offload0_conc4_run2.json	2026-07-24T15:01:37Z
completed	llama	meta-llama/Llama-3.1-8B-Instruct	0	long	512	128	4	2	./profile_robustness_runs/llama/offload0/bench_runs_plos_profile_robustness_v1_llama_offload0_20260724_165942/llama_profile-long_offload0_conc4_run2.json	2026-07-24T15:02:01Z
started	llama	meta-llama/Llama-3.1-8B-Instruct	0	short	128	32	8	2	./profile_robustness_runs/llama/offload0/bench_runs_plos_profile_robustness_v1_llama_offload0_20260724_165942/llama_profile-short_offload0_conc8_run2.json	2026-07-24T15:02:01Z
completed	llama	meta-llama/Llama-3.1-8B-Instruct	0	short	128	32	8	2	./profile_robustness_runs/llama/offload0/bench_runs_plos_profile_robustness_v1_llama_offload0_20260724_165942/llama_profile-short_offload0_conc8_run2.json	2026-07-24T15:02:11Z
started	llama	meta-llama/Llama-3.1-8B-Instruct	0	short	128	32	4	2	./profile_robustness_runs/llama/offload0/bench_runs_plos_profile_robustness_v1_llama_offload0_20260724_165942/llama_profile-short_offload0_conc4_run2.json	2026-07-24T15:02:11Z
