artifact_file	source_repository_path	source_repository_commit	source_sha256	role
baseline_llama_gmem090_offload0.log	runs/2026-04-26_lama/server_logs/server_offload0_20260415_140204.log	72b9272c59ca0738ffe7fb012b9a33169b3b941f	9ae659f9e3f3e0f0c8a23097b002748b91ed3f409f6cd9dfb49958bbe561c694	Baseline Llama configuration and model-loading evidence
baseline_qwen_gmem090_offload0.log	runs/2026-06-01_Qwen/server_logs_qwen/server_qwen_offload0_20260601_101948.log	72b9272c59ca0738ffe7fb012b9a33169b3b941f	2dc9e444b4294dad2f0626bb8f7e857dd870774341070be0ccb989ace6eb7676	Baseline Qwen configuration and model-loading evidence
fixd_llama_gmem086_offload0.log	server_logs/server_offload0_20260726_103647.log	72b9272c59ca0738ffe7fb012b9a33169b3b941f	d1d02a35077b4fc7bdbfa8f8aa148ba471c84e3bfa64b8703e38bfa5ada9bc8c	Fix-D Llama GPU-only condition at 0.86
fixd_llama_gmem086_offload12.log	server_logs/server_offload12_20260726_110513.log	72b9272c59ca0738ffe7fb012b9a33169b3b941f	bb394770609db41c0e7eb5e2665def5acdd4b3b2e77ae0da85704891805a1a8a	Fix-D Llama offload-12 condition at 0.86
fixd_llama_gmem090_offload0_failed.log	server_logs/server_offload0_20260726_102339.log	72b9272c59ca0738ffe7fb012b9a33169b3b941f	583c5eca6a574e0145f7012491d3dcdd8cba62c16b196ce21b54d618e1084bda	Initial Fix-D Llama startup failure at the default 0.90 setting
fixd_qwen_gmem086_offload0.log	server_logs_qwen/server_qwen_offload0_20260726_125416.log	72b9272c59ca0738ffe7fb012b9a33169b3b941f	8e7d6c9019178ba8aa3b049b4af7627ed51d2e05e9da771984e4d4153b509511	Fix-D Qwen GPU-only condition at 0.86
fixd_qwen_gmem086_offload12.log	server_logs_qwen/server_qwen_offload12_20260726_131100.log	72b9272c59ca0738ffe7fb012b9a33169b3b941f	39a2c7ead38789c78a4f7394c75c435e09c0d60069b5600330da7b86cf52af8b	Fix-D Qwen offload-12 condition at 0.86
kv_vram_llama_gmem070_offload0_failed.log	server_logs/server_offload0_20260726_145329.log	72b9272c59ca0738ffe7fb012b9a33169b3b941f	5826c657c018da915fafdf5f78a68f6e2843a1d711bbe9e12bcc88fed55e7357	Llama failed lower-boundary configuration
kv_vram_llama_gmem075_offload0.log	server_logs/server_offload0_20260726_144037.log	72b9272c59ca0738ffe7fb012b9a33169b3b941f	5d78ac64cfe63c0376fb8972d8b0e1a2e28249cce8863900dc204a8e3e17a3b8	Llama retained KV/VRAM-pressure configuration
kv_vram_qwen_gmem060_offload0_failed.log	server_logs_qwen/server_qwen_offload0_20260727_162116.log	72b9272c59ca0738ffe7fb012b9a33169b3b941f	aed1f1d1a54c520a8f5a000cf87ca6de6677e1d780cd0f1c9f70635dd8bbef07	Qwen failed lower-boundary configuration
kv_vram_qwen_gmem065_offload0.log	server_logs_qwen/server_qwen_offload0_20260727_161945.log	72b9272c59ca0738ffe7fb012b9a33169b3b941f	86dc015a45f11c0a02f7e98ccc1fee7cb60720c5ad07694e295542d669430ae4	Qwen retained KV/VRAM-pressure configuration
kv_vram_qwen_gmem065_offload0_failed.log	server_logs_qwen/server_qwen_offload0_20260727_162317.log	72b9272c59ca0738ffe7fb012b9a33169b3b941f	ce40373571e06bd96566498bff19f13f68d33e2d66db065decf24cda5b0557cc	Representative Qwen 0.65 near-boundary startup failure
